title,job_title,company,location,description,requirements,experience,salary_min,salary_max,salary_text,job_type,link,apply_link,source,platform,posted_date,keywords_matched,ats_score,role,target_level,score,profile_role,experience_match,location_match,role_keyword_hits
Job,Job,10x Team,Bucharest,"<p style=""min-height:1.5em"">Updated: 03 April 2026</p><p style=""min-height:1.5em""><strong>Freelance | 8â20 hrs/week | Remote (EU/UK)</strong></p><div><div style=""left:0;width:100%;height:0;position:relative;padding-bottom:56.338%""><iframe src=""https://embedded-media.ashbyhq.com/embed/2dfff8ba-3442-4834-8c5b-c7dbb9b39cc0/47968813-a055-4b39-9c24-0662b39d61f9"" style=""top:0;left:0;width:100%;height:100%;position:absolute;border:0"" allowfullscreen scrolling=""no"" allow=""encrypted-media *; picture-in-picture *;"" sandbox=""allow-scripts allow-same-origin allow-presentation""></iframe></div></div><p style=""min-height:1.5em"">Are you an experienced legal counsel who instinctively spots gaps in legal reasoning and understands the complex realities of legal practice? Do you have 8 to 20 hours per week available alongside your main job or consulting projects? Join us in shaping how AI understands and applies legal expertise at scale.</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>About the Role</strong><br />10x.team connects expert freelancers with leading AI labs building next-generation models. We are looking for knowledgeable legal counsels based in the EU or UK to enhance the accuracy, depth, and real-world relevance of AI-powered legal systems.</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>What You Will Do</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Review and refine AI-generated outputs related to legal analysis, drafting contracts, compliance, and practical aspects of legal counsel work</p></li><li><p style=""min-height:1.5em"">Evaluate AI responses for legal accuracy, practicality, and compliance with real-world requirements</p></li><li><p style=""min-height:1.5em"">Draft realistic legal scenarios based on your direct professional experience</p></li><li><p style=""min-height:1.5em"">Create scenario variations from different perspectives (e.g. legal counsel, client, regulator, or opposing counsel)</p></li><li><p style=""min-height:1.5em"">Identify gaps, oversights, or weak reasoning in AI-generated legal content</p></li></ul><p style=""min-height:1.5em""></p><p style=""min-height:1.5em"">In simple terms: You will assess and improve AI-generated content, ensuring it reflects true legal reasoning, authentic documentation, and practical procedures. Rather than providing traditional legal counsel, youâll apply your expertise to help AI systems understand and reason about legal processes at scale.</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>Who You Are</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">A senior-level legal counsel with significant professional experience within the EU or UK</p></li><li><p style=""min-height:1.5em"">Experienced in advising on, preparing, and executing legal documents and transactions</p></li><li><p style=""min-height:1.5em"">Skilled at evaluating document processes, legal requirements, and compliance</p></li><li><p style=""min-height:1.5em"">Comfortable working independently and providing structured, critical feedback</p></li><li><p style=""min-height:1.5em"">Available for 8â20 hours per week, with prompt availability</p></li></ul><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>Why Join?</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Flexible, fully remote freelance work that fits your current commitments</p></li><li><p style=""min-height:1.5em"">Apply your legal expertise in a rapidly evolving, high-impact AI environment</p></li><li><p style=""min-height:1.5em"">Directly contribute to building advanced AI legal systems</p></li><li><p style=""min-height:1.5em"">Free access to our in-house AI Academy to further develop your AI skillset</p></li><li><p style=""min-height:1.5em"">Clear onboarding, structured tasks, and ongoing opportunities for collaboration</p></li></ul><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>Screening Process</strong><br />Our process is straightforward, transparent, and supportive:</p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Brief written test assessing your legal reasoning and expertise</p></li><li><p style=""min-height:1.5em"">Short AI-based interview</p></li><li><p style=""min-height:1.5em"">Verification of credentials and identity</p></li></ul><p style=""min-height:1.5em""></p><p style=""min-height:1.5em"">After successful onboarding, youâll be eligible to start on upcoming projects as they become available.</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em"">Join us to help shape the legal expertise of the worldâs most advanced AI models!</p><p style=""min-height:1.5em"">#LI-TT1</p><br/><br/>Please mention the word **UNQUESTIONABLY** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-legal-counsel-ai-trainer-freelance-8-20-hrs-week-10x-team-1130991,https://remoteOK.com/remote-jobs/remote-legal-counsel-ai-trainer-freelance-8-20-hrs-week-10x-team-1130991,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,2
Job,Job,Reachdesk Ltd,London,"<p><strong>This is a 6-month contractor role, with the potential to extend on a month-to-month basis. This role is fully remote, and we welcome applicants from anywhere in the world who can overlap with London or New York working hours.</strong></p>
<p>&nbsp;</p>
<h3><strong>About Us</strong></h3>
<p>Reachdesk is the first truly end-to-end SaaS global gifting and swag platform, helping B2B companies create meaningful connections with prospects, customers, and employees while driving measurable ROI.</p>
<p>We believe gifting is more than just a transaction. It is about building genuine human connections that fuel business growth. Whether engaging prospects, celebrating customers, or recognising employees, our platform makes it easy to deliver personalised gifts, branded swag, and memorable events and brand experiences at scale through automated sourcing, storage, and global delivery.</p>
<p>Trusted by many of the most recognised names in technology and SaaS, Reachdesk integrates seamlessly with marketing, sales, and HR tech stacks and is powered by a global team with hubs in New York, London, and Lisbon.</p>
<p>&nbsp;</p>
<h3><strong>About the Role</strong></h3>
<p>We are looking for an experienced contractor to support Reachdesk on a range of customs compliance projects across our global operations.</p>
<p>This is a hands-on, high-impact contract role for someone who can quickly assess risk, improve processes, work across multiple stakeholders, and help us strengthen the way we manage customs and cross-border trade compliance in practice. You will partner closely with teams across Operations, Logistics, Marketplace, Product, Legal, and Finance, as well as exte<br/><br/>Please mention the word **DANKE** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-customs-compliance-consultant-reachdesk-ltd-1130982,https://remoteOK.com/remote-jobs/remote-customs-compliance-consultant-reachdesk-ltd-1130982,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,2
Job,Job,Medallion,Remote,"<div><h4><strong>About Medallion:</strong></h4>
<p>At Medallion, we believe healthcare teams should focus on what truly mattersâdelivering exceptional patient care. Thatâs why weâve built a leading provider operations platform to eliminate the administrative bottlenecks that slow healthcare organizations down. By automating licensing, credentialing, payer enrollment, and compliance monitoring, Medallion empowers healthcare operations teams to streamline their workflows, improve provider satisfaction, and accelerate revenue generation, all while ensuring superior patient outcomes.</p>
<p>As one of the fastest-growing healthcare technology companiesâranked No. 3 on Inc. Magazineâs 2024 Fastest-Growing Private Companies in the Pacific Region, No. 5 on LinkedIn's 2024 Top Startups in the US, a Glassdoor Best Place to Work in 2024 &amp; 2025, and featured on The Today ShowâMedallion is revolutionizing provider network management. Our CEO, Derek Lo, has been named one of the Top 50 Healthcare Technology CEOs of 2024 by The Healthcare Technology Report. Backed by $130M in funding from world-class investors like Sequoia Capital, Google Ventures, Optum Ventures, Salesforce Ventures, Acrew Capital, Washington Harbour, and NFDG, weâre on a mission to transform healthcare at scale.</p>
<p><em>We prioritize candidate safety. Please be aware that official communication will only come from @medallion.co email addresses.</em></p></div><div><h3><strong>About the Role:</strong></h3>
<p>We are seeking a dynamic and strategic Senior Engagement Manager to serve as the primary liaison between our organization and our clients. This role is responsible for managing client relationships, ensuring project success, and driving process improvements that enhance customer value. The ideal candidate is highly organized, proactive, and skilled at balancing multiple projects while delivering exceptional client service.</p>
<p>This role reports to Medallionâs Head of Engagement Management and base compensation may land between $90,000-$130<br/><br/>Please mention the word **INGENUOUS** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-senior-engagement-manager-medallion-1130971,https://remoteOK.com/remote-jobs/remote-senior-engagement-manager-medallion-1130971,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,1
Job,Job,Welo Global,India,"<p>As a trusted global transformation partner, Welocalize accelerates the global business journey by enabling brands and companies to reach, engage, and grow international audiences. Welocalize delivers multilingual content transformation services in translation, localization, and adaptation for over 250 languages with a growing network of over 400,000 in-country linguistic resources. Driving innovation in language services, Welocalize delivers high-quality training data transformation solutions for NLP-enabled machine learning by blending technology and human intelligence to collect, annotate, and evaluate all content types. Our team works across locations in North America, Europe, and Asia serving our global clients in the markets that matter to them. www.welocalize.com</p><p><br></p><p>To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.</p><p><br></p><p><strong>ROLE OVERVIEW</strong></p>
<p>We are looking for a Lithuanian Localization QA Tester / Proofreader to join a long-term.</p>
<p>&nbsp;</p>
<p>As a Linguistic Tester, youâll help bring high-quality Lithuanian content to life and ensure it feels natural, accurate, and polished for end users. Your main focus will be reviewing and refining localized content, making sure it reads smoothly and is free from errors. This includes checking grammar, spelling, punctuation, consistency, formatting, and cultural or contextual accuracy.</p>
<p>&nbsp;</p>
<p>Youâll also work hands-on with products by executing test cases, identifying localization bugs, and reporting issues through internal bug-tracking systems. Once fixes are implemented, youâll help verify that theyâve been resolved correctly. From time to time, youâll also have the opportunity to translate content from English into Lithuanian. In addition, youâll explore user interfaces to identify localization or functional issues, playing an important role in delivering a seamless and user-friendly experience.</p>
<p>&nbsp;</p>
<p>This role is ideal for someone with native-level Lithuanian fluency, strong attention to detail, and an interest in quality assurance within digital products. If youâre looking for a stable, long-term role (no end date) where you can apply both your language expertise and technical skills, this is a great opportunity.</p>
<p>&nbsp;</p>
<p><strong>MAIN DUTIES</strong></p>
<p>&nbsp;- Write and report relevant bugs and errors using best practices through the internal database system.</p>
<p>- Ability to understand and prioritize tasks and issues quickly and efficiently.</p>
<p>- Native language skills and cultural awareness of Lithuanian and Lithuania.</p>
<p>- Good oral and written communication.</p>
<p>- Highly organized with attention to detail and a commitment to quality.</p>
<p>- QA various products by accurately following testing instructions and test cases.</p>
<p>- Discover and report defects (bugs) using client-specific bug-tracking tools.</p>
<p>- Evaluate translations in the context of software, mobile apps, and documentation.</p>
<p>- Be a subject matter expert for linguistic issues in Lithuanian (from Lithuania); be able to research and resolve linguistic questions.</p>
<p>- Adhere to project-specific quality standards, trademarks, style guides, and client-preferred checklists and glossaries.</p>
<p>- Troubleshoot basic problems; be able to communicate effectively and escalate testing issues.</p>
<p>- Complete assigned tasks in a quality and timely manner.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>IDEAL BACKGROUNDS: </strong>Marketing, Journalism, Copy Editing, Proofreading, Writing, Translation, and/or Localization</p>
<p>&nbsp;</p>
<p>Job Reference: #LI-JC1</p>
<p>&nbsp;</p>\n<p></p><p><br></p><p></p>\n<br/><br/>Please mention the word **FERVENTLY** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-lithuanian-localization-qa-tester-proofreader-welo-global-1130966,https://remoteOK.com/remote-jobs/remote-lithuanian-localization-qa-tester-proofreader-welo-global-1130966,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,1
Job,Job,WhiteBridge-Ltd,India,"<div class=""vacancy-intro""><div class=""vacancy-intro""><p>WhiteBridge-Ltd is a young and rapidly developing company working in the field of digital markets and analytics. We bring together enterprising people who want to master modern approaches to trading, analysis and decision-making in a dynamic market environment.</p><p>We are currently looking for aÂ <strong>Junior Crypto Analyst &amp; Trader</strong>, a novice specialist who is ready to complete training, perform real trading operations and develop under the guidance of experienced mentors.</p></div><div class=""vacancy-block""><h3>Your Responsibilities</h3><ul><li>Execution and support of trading operations on digital markets.</li><li>Tracking asset dynamics and market trends.</li><li>Maintaining internal records on transactions and statistics.</li><li>Analyzing market data, news, and charts for decision-making.</li><li>Work with analytical tools and participate in discussions with a team of traders.</li><li>The gradual formation and improvement of your own trading strategy.</li></ul></div><div class=""vacancy-block""><h3>What We Offer</h3><ul><li>Working for a young and growing international company.</li><li>Remote format â you can work from anywhere in the world.</li><li>Flexible schedule â up to 20 hours per week, convenient to combine with study or main activity.</li><li>Learning from scratch â all processes and trading tools are mastered with a mentor.</li><li>The opportunity for professional growth and transition to more advanced levels.</li></ul></div><div class=""vacancy-block""><h3>Ideal Candidate Profile</h3><ul><li>Genuine interest in crypto markets, blockchain technology, or financial trading â curiosity is more important than prior experience.</li><li>Readiness to learn quickly, adapt, and develop new skills from zero.</li><li>Careful, accurate and attentive to detail â especially when handling real market operations.</li><li>Able to work independently, manage time effectively, and stay organized in a remote role.</li><li>Responsible, reliable, and committed to following through on tasks.</li><li>Motivated to improve and grow within the company.</li><li>English level B2 or above â required to understand analytics, educational materials, tools, and international news.</li></ul></div></div><br/><br/>Please mention the word **ELAN** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-junior-crypto-analyst-trader-whitebridge-ltd-1130961,https://remoteOK.com/remote-jobs/remote-junior-crypto-analyst-trader-whitebridge-ltd-1130961,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,1
Job,Job,G-P,India,"<p style=""line-height: 1.5;""><strong><span style=""font-family: arial, helvetica, sans-serif; font-size: 12pt; color: rgb(40, 40, 40);"">About Us</span></strong></p>
<p style=""line-height: 1.5;""><span style=""font-family: arial, helvetica, sans-serif; color: rgb(40, 40, 40); font-size: 12pt;"">Our leading SaaS-based Global Employment Platformâ¢ enables clients to expand into over 180 countries quickly and efficiently, without the complexities of establishing local entities. At G-P, we're dedicated to breaking down barriers to global business and creating opportunities for everyone, everywhere.</span></p>
<p style=""line-height: 1.5;""><span style=""font-family: arial, helvetica, sans-serif; color: rgb(40, 40, 40); font-size: 12pt;"">Our diverse, remote-first teams are essential to our success. We empower our Dream Team members with flexibility and resources, fostering an environment where innovation thrives and every contribution is valued and celebrated.</span></p>
<p style=""line-height: 1.5;""><span style=""font-family: arial, helvetica, sans-serif; color: rgb(40, 40, 40); font-size: 12pt;"">The work you do here will positively impact lives around the world. We stand by our promise: Opportunity Made Possible. In addition to competitive compensation and benefits, we invite you to join us in expanding your skills and helping to reshape the future of work.</span></p>
<p style=""line-height: 1.5;""><span style=""font-family: arial, helvetica, sans-serif; color: rgb(40, 40, 40); font-size: 12pt;"">At G-P, we assist organizations in building exceptional global teams in days, not monthsâstreamlining the hiring, onboarding, and management process to unlock growth potential for all.</span></p><p></p>
<p data-pm-slice=""1 3 []"">As an&nbsp;<strong>Associate Payroll &amp; Billing Specialist</strong>, you will be assisting the billing team in the processing and invoicing of payroll &amp; expenses for our clients as we on-board<br/><br/>Please mention the word **LUXURIOUSLY** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-associate-payroll-billing-specialist-g-p-1130958,https://remoteOK.com/remote-jobs/remote-associate-payroll-billing-specialist-g-p-1130958,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,1
Job,Job,Prove,Dublin,"<h1><img style=""width: 100%; max-width: 100%;"" src=""https://i.imgur.com/gwyI98w.png"" alt=""We're Hiring!"" width=""100%""></h1>
<h1>About Prove&nbsp;</h1>
<div>
<p><span style=""font-weight: 400;"">As the world moves to a mobile-first economy, businesses need to modernize how they acquire, engage with and enable consumers. Prove's phone-centric identity tokenization and passive cryptographic authentication solutions reduce friction, enhance security and privacy across all digital channels, and accelerate revenues while reducing operating expenses and fraud losses. Over 1,000 enterprise customers use Prove's platform to process 20 billion customer requests annually across industries, including banking, lending, healthcare, gaming, crypto, e-commerce, marketplaces, and payments. For the latest updates from Prove, </span><a href=""https://www.linkedin.com/company/proveidentity/""><span style=""font-weight: 400;"">follow us on LinkedIn.</span></a></p>
<p><span style=""font-weight: 400;"">Prove is driving the future of digital identity. We are looking for Provers who know how to make an impact. We're talking self-starting professionals who thrive in a fast-paced environment, process information quickly, and make intelligent decisions. The work is challenging and requires not only smart but natural curiosity and tenacity. Teamwork is also important to us â we work together and play together.&nbsp;&nbsp;&nbsp;</span></p>
<p><span style=""font-weight: 400;"">Prove has big plans, and we're excited about the future. If this sounds like the place for you â come join our team!&nbsp;</span></p>
</div></div><div><p><strong>Title:</strong> Software Engineer</p>
<p><strong>Department: </strong>Technology</p>
<p><strong>Reports To: </strong>Manager, Engineering</p>
<p><strong>Location(s):</strong> Dublin, Ireland (Remote)&nbsp;</p>
<p><strong>Job Summary:</strong><strong><br></strong>This Software Engineer will be part of the team designing and developing the Digital Identity at Prove. Leveraging your knowledge and passion for innovation you will deliver well-<br/><br/>Please mention the word **DELIGHTFULLY** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-software-engineer-prove-1130955,https://remoteOK.com/remote-jobs/remote-software-engineer-prove-1130955,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,1
Job,Job,Precision Medicine Group,Serbia,"<p><strong>Precision for Medicine</strong> is looking for an experienced <strong>Manager, Site Contracts Management </strong>to join our European team. This position can be covered fully remotely from Poland, Slovakia, Hungary, Romania or Serbia.</p><p><strong>Position Summary:</strong></p><p>Work closely with Study Start Up, Clinical Operations, legal, HR, finance and other stakeholders to ensure Site Contracts team has all needed tools to deliver Site Contracts in the shortest possible time and play a key role to ensure all other deliverables of the Site Contracts group are in alignment with defined study timelines. This role will support to negotiations of contracts when needed and to deal with key clients.&nbsp;Will participate in corporate strategic initiatives for the Start Up group, such as Oncology Site Network and Rapid Start-up and will be part of the SSU Leadership.&nbsp;</p><p><strong>Essential functions of the job include but are not limited to</strong>:&nbsp;<br>â¢ Review, update and/or establish process and procedures for overall site contract management in the organization at the regional level.<br>â¢ Line manages a team of contract and budget associates.<br>â¢ Allocate resources for new business in the organization, forecasting and planning current and expected work.<br>â¢ Participate in discussions on resources needs and plan for the future on site contract's structure.<br>â¢ Report and manage contract metrics including productivity of the site contract's function.<br>â¢ Ensure adherence to company policies, procedures, and contracting standards.<br>â¢ Escalate and resolve complex issues with legal, finance or supervisor.<br>â¢ Review, draft, and negotiate a variety of agreements including confidentiality agreements, master confidentiality agreements, clinical study agreements, ancillary agreements, and amendment agreements.<br>â¢ Oversee execution of agreements at the portfolio level according to each study contract plan<br>â¢ Oversee the maintenance of contract files and databases, including cont<br/><br/>Please mention the word **EXAMPLAR** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-manager-site-contracts-management-precision-medicine-group-1130951,https://remoteOK.com/remote-jobs/remote-manager-site-contracts-management-precision-medicine-group-1130951,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,2
Job,Job,SharkNinja,India,"<div><p><strong><span data-contrast=""auto"">About Us</span></strong><span data-ccp-props=""{\""134233117\"":false,\""134233118\"":false,\""335559738\"":0,\""335559739\"":280}"">&nbsp;</span></p>
<p>SharkNinja&nbsp;is a global product design and technology company, with a diversified portfolio of 5-star rated lifestyle solutions that positively&nbsp;impact&nbsp;peopleâs lives in homes around the world. <strong>Powered by two trusted, global brands, Shark and Ninja</strong>, the company has a proven&nbsp;track record&nbsp;of bringing disruptive innovation to market and developing one consumer product after another has allowed&nbsp;SharkNinja&nbsp;to enter multiple product categories, driving significant growth and market share gains. Headquartered in Needham, Massachusetts with more than&nbsp;4,100&nbsp;associates, the companyâs products are sold at key retailers, online and offline, and through distributors around the world.&nbsp;</p>
<p>&nbsp;</p></div><div><p><strong>Role Overview</strong></p>
<p>We are seeking a motivated and detail-oriented <strong>CX DevOps &amp; Platform Administrator</strong> to support and maintain our customer experience technology platforms, with a primary focus on <strong>Salesforce Service Cloud and Enterprise CCaaS platform (Zoom, familiarity with Genesys, Amazon Connect is also relevant)</strong>. This role plays a key part in ensuring our CX systems remain stable, scalable, and aligned with evolving business needs.</p>
<p>This is an ideal opportunity for an early-career professional looking to grow into <strong>CX systems development, integration engineering, or platform architecture</strong>, while gaining hands-on experience in <strong>DevOps, release management, and CX platform operations</strong>.</p>
<p>You will work closely with CX engineers, system developers, and business stakeholders to support platform operations, assist with releases, and help implement improvements that<br/><br/>Please mention the word **ECONOMICAL** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-platform-administrator-sharkninja-1130943,https://remoteOK.com/remote-jobs/remote-platform-administrator-sharkninja-1130943,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,1
Job,Job,Huzzle,India,"Role Overview<p>We are building a global network of independent freelance recruiters who source and place top talent across our client base.</p><p>This is a commission-only, performance-driven role where you are fully responsible for sourcing your own candidates using your own tools, workflows, and networks.</p><p>You will not be provided with sourcing tools, candidate databases, or inbound applicants. Instead, you will leverage your own sourcing strategies (LinkedIn, outbound, automation tools, referrals, etc.) to identify and submit high-quality candidates.</p><p>This role is ideal for recruiters who already have strong sourcing capabilities and want to monetize their ability to generate talent pipelines.</p>How This Role Works<ul><li> You independently source candidates using your own tools and methods </li><li> You submit qualified candidates for active roles on our platform </li><li> Huzzle manages client relationships and the final hiring process </li><li> You earn a fee only when your candidate is successfully placed </li><li> No payment is made for candidate submissions alone </li></ul>Key Responsibilities<ul><li> Independently source candidates using your own tools, workflows, and networks (LinkedIn, job boards, outbound, automation tools, referrals, etc.) </li><li> Identify and engage high-quality candidates aligned with active roles </li><li> Conduct initial screening and qualification of candidates before submission </li><li> Submit candidates with accurate and complete information </li><li> Manage early-stage communication with candidates </li><li> Build and maintain your own pipeline across multiple roles and markets </li><li> Ensure candidates meet role requirements before submission </li><li> Collaborate with the Huzzle team on shortlisted candidates and hiring progress</li></ul><p></p><p>Unsuccessful candidates will still be part of our pool to match with one of our clients</p>
<ul><li> Proven experience as a recruiter (freelance, agency, or in-house) </li></ul><ul><li> Strong ability to independently source candidates without relying on company-provided tools or inbound pipelines </li><li> Experience using sourcing tools or outbound strategies (e.g. LinkedIn Recruiter, Boolean search, automation tools, scraping tools, referrals, etc.) </li><li> Fluent English communication skills (written and spoken) </li><li> Experience managing multiple roles or pipelines simultaneously </li><li> Familiarity with ATS/CRM systems and recruitment workflows </li><li> Ability to work independently in a remote, performance-based environment </li><li> Strong organization and time management skills </li><li> Experience with technical or international hiring</li></ul>
<p>ð° Commission-only structure â earn per successful placement (no base salary) </p><p> ð Unlimited earning potential based on performance </p><p> ð§  Full autonomy â use your own tools, sourcing methods, and workflows </p><p> ð Fully remote â work from anywhere </p><p> ð Access to active roles and clients without needing to source clients </p><p> ð¤ Operate as an independent recruitment partner, not an employee</p><br/><br/>Please mention the word **SUPERBLY** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-full-cycle-recruiter-sourcing-specialist-huzzle-1130942,https://remoteOK.com/remote-jobs/remote-full-cycle-recruiter-sourcing-specialist-huzzle-1130942,RemoteOK,RemoteOK,,[],0,business_analyst,entry,5.0,business_analyst,True,True,2
