title,job_title,company,location,description,requirements,experience,salary_min,salary_max,salary_text,job_type,link,apply_link,source,platform,posted_date,keywords_matched,ats_score,role,target_level,score,profile_role,experience_match,location_match
Job,Job,SpecterOps,India,"SpecterOps is a cybersecurity solutions and services provider specializing in deep knowledge of adversary tradecraft to help clients detect and defend against sophisticated attackers. We are seeking motivated and curious students or recent graduates to join us for a summer internship. If you have a passion for learning and an interest in accounting within a fastâgrowing technology company, we want to hear from you! Internships at SpecterOps aim to offer students industry exposure and hands-on experience. You will partner closely with experienced professionals and be exposed to innovative solutions, research, and tools that will further enhance your knowledge and prepare you to add value as an early career professional. This year, the summer internship program will run for 11 weeks, beginning June 1, 2026, through August 14, 2026. Successful candidates must be able to commit for the entire length remotely with in the United States. We are inviting an Accounting I<br/><br/>Please mention the word **RIGHTNESS** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-accounting-intern-specterops-1130972,https://remoteOK.com/remote-jobs/remote-accounting-intern-specterops-1130972,RemoteOK,RemoteOK,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Job,Job,BitMEX,Asia,"<div><p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;""><strong>About BitMEX</strong></span></p>
<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;"">BitMEX stands as a globally leading exchange for crypto derivatives, offering traders a professional-grade trading platform. Since its inception in 2014, BitMEX has maintained an impeccable security record with âno coin lost, ever!â.</span></p>
<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;"">Our platform caters to cryptocurrency derivatives traders by providing low latency, deep liquidity, and maximum availability. Currently, BitMEX offers more than 100 derivatives contracts, 16 pairs for spot trading, and an easy covert function between 30+ different cryptocurrencies.</span></p>
<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;"">In 2015, BitMEX revolutionised the market by inventing the Perpetual Swap, which has since become the most widely traded crypto product. Demonstrating a commitment to transparency, since 2021, BitMEX has been among the first exchanges to regularly publish its on-chain Proof of Reserves and Proof of Liabilities, ensuring that the funds available exceed the total client balances.""</span></p>
<p style=""text-align: justify;""><span style=""font-size: 10pt; font-family: helvetica, arial, sans-serif;"">For more information on BitMEX, company initiatives and our products, please visit the&nbsp;<a href=""https://blog.bitmex.com/"">BitMEX Blog</a> or&nbsp;<a href=""http://www.bitmex.com"">www.bitmex.com</a>, and follow&nbsp;<a href=""https://www.linkedin.com/company/bitmex"">LinkedIn</a>,&nbsp;<a href=""https://discord.com/invite/X2jcEX4Csf"">Discord</a>,&nbsp;<a href=""https://t.me/BitMEX_Group"">Telegram</a> and&nbsp;<a href=""https://twitter.com/BitMEX"">X</a>.</span></p></div><br/><br/>Please mention the word **SPELLBOUND** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-trading-technology-engineer-bitmex-1130960,https://remoteOK.com/remote-jobs/remote-trading-technology-engineer-bitmex-1130960,RemoteOK,RemoteOK,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Internships,Internships,Company,India,,,0-1 years,0,0,,Job,https://www.talentd.in/jobs/internships,https://www.talentd.in/jobs/internships,Talentd,Talentd,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Freshers,Freshers,Company,India,,,0-1 years,0,0,,Job,https://www.talentd.in/jobs/freshers,https://www.talentd.in/jobs/freshers,Talentd,Talentd,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Assistance Director (Video Ads & TV Advertising),Assistance Director (Video Ads & TV Advertising),Viacom India LLP,"Delhi, Gurgaon","Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/assistance-director-video-ads-tv-advertising-internship-in-multiple-locations-at-viacom-india-llp1775192494,https://internshala.com/internship/detail/assistance-director-video-ads-tv-advertising-internship-in-multiple-locations-at-viacom-india-llp1775192494,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Human Resources (HR),Human Resources (HR),Community Action Through Motivation Program,Bhopal,"Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-community-action-through-motivation-program1775192825,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-community-action-through-motivation-program1775192825,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Curriculum Developer - English/EVS/History/Hindi,Curriculum Developer - English/EVS/History/Hindi,Ampersand Group: Vibgyor Group Of Schools,Mumbai,"Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/curriculum-developer-english-evs-history-hindi-internship-in-mumbai-at-ampersand-group-vibgyor-group-of-schools1775197663,https://internshala.com/internship/detail/curriculum-developer-english-evs-history-hindi-internship-in-mumbai-at-ampersand-group-vibgyor-group-of-schools1775197663,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Network Engineering,Network Engineering,NTT DATA,Work from home,"Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/work-from-home-network-engineering-internship-at-ntt-data1775416079,https://internshala.com/internship/detail/work-from-home-network-engineering-internship-at-ntt-data1775416079,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Content and Social Media Marketing,Content and Social Media Marketing,Regale Gifts,"Gurgaon, Delhi, Noida","Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-regale-gifts1775220046,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-regale-gifts1775220046,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Community Management,Community Management,Startup Village Club,Bangalore,"Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/community-management-internship-in-bangalore-at-startup-village-club1773141772,https://internshala.com/internship/detail/community-management-internship-in-bangalore-at-startup-village-club1773141772,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
