title,company,location,location_type,job_type,source,score,url,link,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst Intern,Webs IT Solution,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388740213?position=33&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=CZXvUbTbMvZat7InqY2Jkg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388740213?position=33&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=CZXvUbTbMvZat7InqY2Jkg%3D%3D,2026-03-21,32 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Business Analyst Intern,Skillzenloop,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/business-analyst-intern-at-skillzenloop-4386173606?position=36&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=strZjrgC0sw2exNpEncZDA%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-skillzenloop-4386173606?position=36&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=strZjrgC0sw2exNpEncZDA%3D%3D,2026-03-21,8 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Business Analyst Intern,WebBoost Solutions by UM,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4388744184?position=34&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=MB%2BrER2zwiPWdSXGn5ibvw%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4388744184?position=34&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=MB%2BrER2zwiPWdSXGn5ibvw%3D%3D,2026-03-21,14 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Intern,Zenithbyte,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388295462?position=3&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=TtaSHNAYZIylRi1vHC7BQw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388295462?position=3&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=TtaSHNAYZIylRi1vHC7BQw%3D%3D,2026-03-21,49 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Intern,Webs X UM,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388735407?position=8&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=AYe8OcIuTdzqykcixLKvXw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388735407?position=8&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=AYe8OcIuTdzqykcixLKvXw%3D%3D,2026-03-21,11 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Intern,Skillzenloop,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-skillzenloop-4386175434?position=6&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=%2FvV5yzPQKnVaZ%2Bva69v2UQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-skillzenloop-4386175434?position=6&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=%2FvV5yzPQKnVaZ%2Bva69v2UQ%3D%3D,2026-03-21,8 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Intern,Webs IT Solution,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388726724?position=4&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=U0%2FbYNrJ28zHWC0EAMpgfw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388726724?position=4&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=U0%2FbYNrJ28zHWC0EAMpgfw%3D%3D,2026-03-21,34 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=1&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=cwSpfoD9skODDfqatsNmrg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=1&pageNum=0&refId=Ke8CqfNwgec1wtpR2JymtA%3D%3D&trackingId=cwSpfoD9skODDfqatsNmrg%3D%3D,2026-03-21,6 hours ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
business analyst intern,,India,onsite,Internship,LinkedIn,5,https://in.linkedin.com/in/minakshi-arora-6b5159266,https://in.linkedin.com/in/minakshi-arora-6b5159266,,,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
"Data Analyst Internship Research Engine No prior experience required Full Time Work from Home Python SQL Tableau +17 Data Analysis Postgraduate Undergraduate +2 12 K - 15 K/Month Posted Mar 21, 2026 13 days left",Data Analyst Internship,Work from Home,remote,Internship,Unstop,5,https://unstop.com/internships/data-analyst-internship-research-engine-1663145,https://unstop.com/internships/data-analyst-internship-research-engine-1663145,,,2026-03-21,22:10:26,daily,24h,2026-03-21 22:23,,
Business Analyst,ViralChilly,Jaipur,onsite,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,,,2026-03-21,22:09:27,daily,24h,2026-03-21 22:23,,
Data Analyst,Zetheta Algorithms Private Limited,Work from home,remote,Internship,Internshala - Internship,3,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774087746,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774087746,,,2026-03-21,22:09:27,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MedTourEasy Dwarka,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-dwarka-4388297415?position=47&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=BJ7DVZ4MkgSOmvm5OkmY8Q%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-dwarka-4388297415?position=47&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=BJ7DVZ4MkgSOmvm5OkmY8Q%3D%3D,2026-03-21,41 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MTE Trainings,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mte-trainings-4388279714?position=34&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=pSCUJdo0a27jAzBDEzJPrA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mte-trainings-4388279714?position=34&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=pSCUJdo0a27jAzBDEzJPrA%3D%3D,2026-03-21,5 hours ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MedTourEasy Mumbai,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-mumbai-4388284806?position=53&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=Wj8Ct5JnW1NTaVOjd6SgQQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-mumbai-4388284806?position=53&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=Wj8Ct5JnW1NTaVOjd6SgQQ%3D%3D,2026-03-21,1 hour ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MedTourEasy Hyderabad,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-hyderabad-4388261684?position=50&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=L1oqeefCe6qCfRT6mvGFug%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-hyderabad-4388261684?position=50&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=L1oqeefCe6qCfRT6mvGFug%3D%3D,2026-03-21,10 hours ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MedTourEasy Bengaluru,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-bengaluru-4388600282?position=49&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=uBJ%2BqF1UIAv58FGouhRNWQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-bengaluru-4388600282?position=49&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=uBJ%2BqF1UIAv58FGouhRNWQ%3D%3D,2026-03-21,1 hour ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MedTourEasy Gurugram,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-gurugram-4388284939?position=48&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=3PIkPMT5%2BLEkNZm%2FC5cwHA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-gurugram-4388284939?position=48&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=3PIkPMT5%2BLEkNZm%2FC5cwHA%3D%3D,2026-03-21,28 minutes ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
Data Analyst Trainee,MedTourEasy New Delhi,India,onsite,Internship,LinkedIn,3,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-new-delhi-4388296114?position=31&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=lguWASrNa0PwMZBCtwVFnA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-new-delhi-4388296114?position=31&pageNum=0&refId=%2Feynhl4QaM1C7xNrLmIvMg%3D%3D&trackingId=lguWASrNa0PwMZBCtwVFnA%3D%3D,2026-03-21,5 hours ago,2026-03-21,22:07:36,daily,24h,2026-03-21 22:23,,
