title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,3 days ago,2026-03-22,17:26:03,daily,24h,2026-03-22 17:36,,
Business Analyst Intern,WebBoost Solutions by UM,India,Internship,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4388742203?position=37&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=lSy3iL%2FzhpKOC2ut8S08Eg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4388742203?position=37&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=lSy3iL%2FzhpKOC2ut8S08Eg%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Business Analyst Intern,Webs IT Solution,India,Internship,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388740213?position=38&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=LJnb%2BpdEgOXyO0cI0XBE7Q%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4388740213?position=38&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=LJnb%2BpdEgOXyO0cI0XBE7Q%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Business Analyst Intern,Skillzenloop,India,Internship,https://in.linkedin.com/jobs/view/business-analyst-intern-at-skillzenloop-4386173606?position=40&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=KG%2FsDEPbOiwNmONxvEnJ6w%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-skillzenloop-4386173606?position=40&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=KG%2FsDEPbOiwNmONxvEnJ6w%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Data Analyst Intern,Zenithbyte,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388295462?position=7&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=6lVY652HtjcWMiv8DZfTTQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388295462?position=7&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=6lVY652HtjcWMiv8DZfTTQ%3D%3D,LinkedIn,5,2026-03-21,3 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Data Analyst Intern,Webs IT Solution,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388731537?position=9&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=jja3SU9vbP%2BFDZDzGOIxPQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388731537?position=9&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=jja3SU9vbP%2BFDZDzGOIxPQ%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Data Analyst Intern,Skillzenloop,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-intern-at-skillzenloop-4386175434?position=4&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=wsscCSPph8JqVD478N82ig%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-skillzenloop-4386175434?position=4&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=wsscCSPph8JqVD478N82ig%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Data Analyst Intern,Webs X UM,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388729613?position=11&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=lhWlKLW4%2BM53lHGX%2B0quVA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388729613?position=11&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=lhWlKLW4%2BM53lHGX%2B0quVA%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=1&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=aT9Jw%2Bu1lkLS%2FUPgmIn5EA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=1&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=aT9Jw%2Bu1lkLS%2FUPgmIn5EA%3D%3D,LinkedIn,5,2026-03-21,8 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Internship,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388288804?position=2&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=ImDAmiYTwQXWBElHudzGJg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388288804?position=2&pageNum=0&refId=2PeGGJDyyYXo8JZKQWip6A%3D%3D&trackingId=ImDAmiYTwQXWBElHudzGJg%3D%3D,LinkedIn,5,2026-03-21,2 hours ago,2026-03-22,17:23:59,daily,24h,2026-03-22 17:36,,
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,Internshala - Job,4,,5 days ago,2026-03-22,17:26:03,daily,24h,2026-03-22 17:36,,
Junior Business Analyst,Zulitech Solution,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,Internshala - Job,4,,3 weeks ago,2026-03-22,17:26:03,daily,24h,2026-03-22 17:36,,
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,Internshala - Job,4,,2 weeks ago,2026-03-22,17:26:03,daily,24h,2026-03-22 17:36,,
Business Analyst,ViralChilly,Jaipur,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,Internshala - Internship,3,,1 day ago,2026-03-22,17:26:03,daily,24h,2026-03-22 17:36,,
Business Analyst,Evolko,Lucknow,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,Internshala - Internship,3,,1 week ago,2026-03-22,17:26:03,daily,24h,2026-03-22 17:36,,
