title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analytics,OMNIDYA TECH LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-omnidya-tech-llp1772203557,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-omnidya-tech-llp1772203557,Internshala - Internship,0,,3 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Business Analytics,Fx31 Labs,Ahmedabad,Internship,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-fx31-labs1774270769,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-fx31-labs1774270769,Internshala - Internship,0,,just now,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Data Analytics,Tech Analogy,Ahmedabad,Internship,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427,Internshala - Internship,0,,1 week ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Data Analytics,Cognitive Pixel,Ahmedabad,Internship,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-cognitive-pixel1771555690,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-cognitive-pixel1771555690,Internshala - Internship,0,,3 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Data Anlayst,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/data-anlayst-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027503,https://internshala.com/internship/detail/data-anlayst-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027503,Internshala - Internship,0,,3 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Data Scientist,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/data-scientist-internship-in-ahmedabad-at-maxgen-technologies-private-limited1771777975,https://internshala.com/internship/detail/data-scientist-internship-in-ahmedabad-at-maxgen-technologies-private-limited1771777975,Internshala - Internship,0,,3 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Electrical/Mechanical Engineer,Auto Forest,Ahmedabad,Internship,https://internshala.com/internship/detail/electrical-mechanical-engineer-internship-in-ahmedabad-at-auto-forest1772519543,https://internshala.com/internship/detail/electrical-mechanical-engineer-internship-in-ahmedabad-at-auto-forest1772519543,Internshala - Internship,0,,2 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Equity Analyst,Next Step Advisors LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/equity-analyst-internship-in-ahmedabad-at-next-step-advisors-llp1773310857,https://internshala.com/internship/detail/equity-analyst-internship-in-ahmedabad-at-next-step-advisors-llp1773310857,Internshala - Internship,0,,1 week ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Export Executive,Eco Export,Ahmedabad,Internship,https://internshala.com/internship/detail/export-executive-internship-in-ahmedabad-at-eco-export1772107086,https://internshala.com/internship/detail/export-executive-internship-in-ahmedabad-at-eco-export1772107086,Internshala - Internship,0,,3 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Geographic Information System (GIS),Shark Cybertech LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/geographic-information-system-40gis-41-internship-in-ahmedabad-at-shark-cybertech-llp1773937627,https://internshala.com/internship/detail/geographic-information-system-40gis-41-internship-in-ahmedabad-at-shark-cybertech-llp1773937627,Internshala - Internship,0,,3 days ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Inventory & Business Operations,The House Of Vraj:bhoomi,Ahmedabad,Internship,https://internshala.com/internship/detail/inventory-business-operations-internship-in-ahmedabad-at-the-house-of-vrajbhoomi1772887558,https://internshala.com/internship/detail/inventory-business-operations-internship-in-ahmedabad-at-the-house-of-vrajbhoomi1772887558,Internshala - Internship,0,,2 weeks ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Operations,Techify Solutions Pvt Ltd.,Ahmedabad,Internship,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-techify-solutions-pvt-ltd1773726850,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-techify-solutions-pvt-ltd1773726850,Internshala - Internship,0,,6 days ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
Operations,Bummer,Ahmedabad,Internship,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-bummer1773750684,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-bummer1773750684,Internshala - Internship,0,,6 days ago,2026-03-23,21:05:42,hourly,24h,2026-03-23 21:15,,
