title,company,location,job_type,url,link,source,score,skills,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Mern Stack Developer Internship,Diasimos Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/mern-stack-developer-internship-internship-in-ahmedabad-at-diasimos-private-limited1773816796,https://internshala.com/internship/detail/mern-stack-developer-internship-internship-in-ahmedabad-at-diasimos-private-limited1773816796,Internshala - Internship,2,,,7 days ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Business Analytics,OMNIDYA TECH LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-omnidya-tech-llp1772203557,https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-omnidya-tech-llp1772203557,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Business Development (Sales),JHD Software,Ahmedabad,Internship,https://internshala.com/internship/detail/business-development-sales-internship-in-ahmedabad-at-jhd-software1773414765,https://internshala.com/internship/detail/business-development-sales-internship-in-ahmedabad-at-jhd-software1773414765,Internshala - Internship,0,,,1 week ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Data Analytics,Tech Analogy,Ahmedabad,Internship,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-tech-analogy1773398427,Internshala - Internship,0,,,1 week ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Data Analytics,Cognitive Pixel,Ahmedabad,Internship,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-cognitive-pixel1771555690,https://internshala.com/internship/detail/data-analytics-internship-in-ahmedabad-at-cognitive-pixel1771555690,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Data Anlayst,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/data-anlayst-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027503,https://internshala.com/internship/detail/data-anlayst-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027503,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Data Science,OMNIDYA TECH LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/data-science-internship-in-ahmedabad-at-omnidya-tech-llp1774344650,https://internshala.com/internship/detail/data-science-internship-in-ahmedabad-at-omnidya-tech-llp1774344650,Internshala - Internship,0,,,1 day ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Electrical/Mechanical Engineer,Auto Forest,Ahmedabad,Internship,https://internshala.com/internship/detail/electrical-mechanical-engineer-internship-in-ahmedabad-at-auto-forest1772519543,https://internshala.com/internship/detail/electrical-mechanical-engineer-internship-in-ahmedabad-at-auto-forest1772519543,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Export Executive,Eco Export,Ahmedabad,Internship,https://internshala.com/internship/detail/export-executive-internship-in-ahmedabad-at-eco-export1772107086,https://internshala.com/internship/detail/export-executive-internship-in-ahmedabad-at-eco-export1772107086,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Flutter Development,Peers Global Business Platform,Ahmedabad,Internship,https://internshala.com/internship/detail/flutter-development-internship-in-ahmedabad-at-peers-global-business-platform1773734593,https://internshala.com/internship/detail/flutter-development-internship-in-ahmedabad-at-peers-global-business-platform1773734593,Internshala - Internship,0,,,1 week ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Flutter Development,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/flutter-development-internship-in-ahmedabad-at-maxgen-technologies-private-limited1771829642,https://internshala.com/internship/detail/flutter-development-internship-in-ahmedabad-at-maxgen-technologies-private-limited1771829642,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Full Stack Development,Myraid,Ahmedabad,Internship,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-myraid1773403219,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-myraid1773403219,Internshala - Internship,0,,,1 week ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Full Stack Development,Maxgen Technologies Private Limited,Ahmedabad,Internship,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027431,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-maxgen-technologies-private-limited1772027431,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Full Stack Development,OMNIDYA TECH LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-omnidya-tech-llp1772204391,https://internshala.com/internship/detail/full-stack-development-internship-in-ahmedabad-at-omnidya-tech-llp1772204391,Internshala - Internship,0,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Geographic Information System (GIS),Shark Cybertech LLP,Ahmedabad,Internship,https://internshala.com/internship/detail/geographic-information-system-40gis-41-internship-in-ahmedabad-at-shark-cybertech-llp1773937627,https://internshala.com/internship/detail/geographic-information-system-40gis-41-internship-in-ahmedabad-at-shark-cybertech-llp1773937627,Internshala - Internship,0,,,6 days ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Innovation Project,STEMpedia,Ahmedabad,Internship,https://internshala.com/internship/detail/innovation-project-internship-in-ahmedabad-at-stempedia1773901629,https://internshala.com/internship/detail/innovation-project-internship-in-ahmedabad-at-stempedia1773901629,Internshala - Internship,0,,,6 days ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
