title,company,location,job_type,url,link,source,score,skills,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,,7 days ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Data Analyst Intern - SQL & Power BI,Versich,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-intern-sql-power-bi-internship-at-versich1774344854,https://internshala.com/internship/detail/work-from-home-data-analyst-intern-sql-power-bi-internship-at-versich1774344854,Internshala - Internship,5,,,1 day ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Finance & Data Analyst Intern,Plootus,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,Internshala - Internship,5,,,,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Business Analyst Intern,Webs IT Solution,India,Job,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4390383114?position=47&pageNum=0&refId=ZnX%2B%2FW9jiP0pHs4%2F%2BVKsoQ%3D%3D&trackingId=z7FnerRArpxYjoErmDO%2Bog%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webs-it-solution-4390383114?position=47&pageNum=0&refId=ZnX%2B%2FW9jiP0pHs4%2F%2BVKsoQ%3D%3D&trackingId=z7FnerRArpxYjoErmDO%2Bog%3D%3D,LinkedIn,5,,2026-03-25,31 minutes ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst Intern,Zenithbyte,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4390149835?position=7&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=MNF9kVaTFyfpLag5f0HkgQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4390149835?position=7&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=MNF9kVaTFyfpLag5f0HkgQ%3D%3D,LinkedIn,5,,2026-03-25,22 minutes ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4390145655?position=4&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=H%2FEjlPc1ewWGPjRGR2LP0g%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4390145655?position=4&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=H%2FEjlPc1ewWGPjRGR2LP0g%3D%3D,LinkedIn,5,,2026-03-25,1 hour ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4390126423?position=3&pageNum=2&refId=Q3UoXGe7Tzo3pUTXytj9GA%3D%3D&trackingId=g25ax0sZa3uEp6JLDTmWNg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4390126423?position=3&pageNum=2&refId=Q3UoXGe7Tzo3pUTXytj9GA%3D%3D&trackingId=g25ax0sZa3uEp6JLDTmWNg%3D%3D,LinkedIn,5,,2026-03-25,5 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,Internshala - Job,4,,,1 week ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Junior Business Analyst,Zulitech Solution,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,Internshala - Job,4,,,3 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,Internshala - Job,4,,,2 weeks ago,2026-03-25,22:33:41,hourly,24h,2026-03-25 22:51,,
