title,company,location,job_type,url,link,source,score,skills,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,,1 week ago,2026-03-27,18:09:19,hourly,24h,2026-03-27 18:27,,
Junior Data Analyst Intern,Skillzenloop,India,Job,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4391962673?position=55&pageNum=0&refId=el90AwVb0xNQs9YO%2FPJC4g%3D%3D&trackingId=LX0aHUn4eFI%2FPe%2B3CjzoMQ%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4391962673?position=55&pageNum=0&refId=el90AwVb0xNQs9YO%2FPJC4g%3D%3D&trackingId=LX0aHUn4eFI%2FPe%2B3CjzoMQ%3D%3D,LinkedIn,6,,2026-03-27,9 hours ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
Data Analyst Intern,Axentriax,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-intern-internship-at-axentriax1774600446,https://internshala.com/internship/detail/work-from-home-data-analyst-intern-internship-at-axentriax1774600446,Internshala - Internship,5,,,,2026-03-27,18:09:19,hourly,24h,2026-03-27 18:27,,
Finance & Data Analyst Intern,Plootus,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,Internshala - Internship,5,,,2 days ago,2026-03-27,18:09:19,hourly,24h,2026-03-27 18:27,,
Business Analyst Intern,Weboin Digital Marketing Agency,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/business-analyst-intern-at-weboin-digital-marketing-agency-4390948131?position=2&pageNum=2&refId=UohhJ1F9CfvcQlRlLFdlQw%3D%3D&trackingId=fPs2gHTvFEEzPNd%2FT9hoeA%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-weboin-digital-marketing-agency-4390948131?position=2&pageNum=2&refId=UohhJ1F9CfvcQlRlLFdlQw%3D%3D&trackingId=fPs2gHTvFEEzPNd%2FT9hoeA%3D%3D,LinkedIn,5,,2026-03-27,49 minutes ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
Business Analyst Intern,WebBoost Solutions by UM,India,Job,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4391594232?position=5&pageNum=2&refId=UohhJ1F9CfvcQlRlLFdlQw%3D%3D&trackingId=YQ3sSf%2BCNHEGSW7u2EoIzg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-intern-at-webboost-solutions-by-um-4391594232?position=5&pageNum=2&refId=UohhJ1F9CfvcQlRlLFdlQw%3D%3D&trackingId=YQ3sSf%2BCNHEGSW7u2EoIzg%3D%3D,LinkedIn,5,,2026-03-27,5 minutes ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
Data Analyst Intern,Zenithbyte,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4390941335?position=7&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=oT1P0pNMgrSQV5Yrw5sCIQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4390941335?position=7&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=oT1P0pNMgrSQV5Yrw5sCIQ%3D%3D,LinkedIn,5,,2026-03-27,26 minutes ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
Data Analyst Intern,Webs IT Solution,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4391575703?position=16&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=3XdzeJJuMOqN5Lo2EJUrIQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4391575703?position=16&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=3XdzeJJuMOqN5Lo2EJUrIQ%3D%3D,LinkedIn,5,,2026-03-27,19 minutes ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
Data Analyst Intern,Webs X UM,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4391586299?position=18&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=8yx9RqqOPNdddPSs6Uqsfw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4391586299?position=18&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=8yx9RqqOPNdddPSs6Uqsfw%3D%3D,LinkedIn,5,,2026-03-27,10 minutes ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
Data Analyst Intern,Unified Mentor Jobs,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-at-unified-mentor-jobs-4390949235?position=27&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=gkHGDjoXz91bQ79TXSzm3w%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-at-unified-mentor-jobs-4390949235?position=27&pageNum=0&refId=WCLa7wBJ35f8RhU0Ef0Khg%3D%3D&trackingId=gkHGDjoXz91bQ79TXSzm3w%3D%3D,LinkedIn,5,,2026-03-27,23 minutes ago,2026-03-27,18:05:54,hourly,24h,2026-03-27 18:27,,
